class;order;list;iucn_category;exp;obt
Insecta;Lepidoptera;MMA;CR;200;25
Insecta;Mantodea;ICMBIO;DD;48;0
Insecta;Mantodea;ICMBIO;LC;181;0
Insecta;Mantodea;ICMBIO;NT;2;0
Insecta;Mantodea;ICMBIO;VU;7;0
Insecta;Mantodea;ICMBIO;EN;6;0
Insecta;Mantodea;ICMBIO;CR;5;0
Insecta;Mantodea;IUCN;DD;67;0
Insecta;Mantodea;IUCN;LC;166;0
Insecta;Mantodea;IUCN;NT;3;0
Insecta;Mantodea;IUCN;VU;6;0
Insecta;Mantodea;IUCN;EN;5;0
Insecta;Mantodea;IUCN;CR;4;0
Insecta;Mantodea;MMA;DD;21;0
Insecta;Mantodea;MMA;LC;213;0
Insecta;Mantodea;MMA;NT;4;0
Insecta;Mantodea;MMA;VU;5;0
Insecta;Mantodea;MMA;EN;5;0
Insecta;Mantodea;MMA;CR;4;0
Insecta;Mecoptera;ICMBIO;DD;5;0
Insecta;Mecoptera;ICMBIO;LC;19;0
Insecta;Mecoptera;ICMBIO;NT;0;0
Insecta;Mecoptera;ICMBIO;VU;1;0
Insecta;Mecoptera;ICMBIO;EN;1;0
Insecta;Mecoptera;ICMBIO;CR;1;0
Insecta;Mecoptera;IUCN;DD;7;0
Insecta;Mecoptera;IUCN;LC;17;0
Insecta;Mecoptera;IUCN;NT;0;0
Insecta;Mecoptera;IUCN;VU;1;0
Insecta;Mecoptera;IUCN;EN;0;0
Insecta;Mecoptera;IUCN;CR;0;0
Insecta;Mecoptera;MMA;DD;2;0
Insecta;Mecoptera;MMA;LC;22;0
Insecta;Mecoptera;MMA;NT;0;0
Insecta;Mecoptera;MMA;VU;0;0
Insecta;Mecoptera;MMA;EN;1;0
Insecta;Mecoptera;MMA;CR;0;0
Insecta;Megaloptera;ICMBIO;DD;5;0
Insecta;Megaloptera;ICMBIO;LC;17;0
Insecta;Megaloptera;ICMBIO;NT;0;0
Insecta;Megaloptera;ICMBIO;VU;1;0
